Starting training using file text8
1M
2M
3M
4M
5M
6M
7M
8M
9M
10M
11M
12M
13M
14M
15M
16M
17M
Vocab size: 71291
Words in train file: 16718843
Starting epoch: 0

Alpha: 0.050000  Progress: 0.00%  Cost: -34512.788098 Words/thread/sec: 0.61k  
Alpha: 0.049999  Progress: 0.01%  Cost: -33427.818527 Words/thread/sec: 1.18k  
Alpha: 0.049997  Progress: 0.01%  Cost: -44886.765951 Words/thread/sec: 1.55k  
Alpha: 0.049997  Progress: 0.01%  Cost: -44281.090617 Words/thread/sec: 2.08k  
Alpha: 0.049995  Progress: 0.01%  Cost: -42934.748638 Words/thread/sec: 2.63k  
Alpha: 0.049994  Progress: 0.02%  Cost: -45410.009263 Words/thread/sec: 3.18k  
Alpha: 0.049992  Progress: 0.02%  Cost: -44191.461557 Words/thread/sec: 3.68k  
Alpha: 0.049991  Progress: 0.02%  Cost: -44735.227909 Words/thread/sec: 4.17k  
Alpha: 0.049990  Progress: 0.02%  Cost: -45218.740694 Words/thread/sec: 4.70k  
Alpha: 0.049988  Progress: 0.03%  Cost: -43618.946750 Words/thread/sec: 5.22k  
Alpha: 0.049987  Progress: 0.03%  Cost: -46094.173418 Words/thread/sec: 5.70k  
Alpha: 0.049986  Progress: 0.03%  Cost: -42950.473019 Words/thread/sec: 6.11k  
Alpha: 0.049985  Progress: 0.03%  Cost: -43692.322156 Words/thread/sec: 6.46k  
Alpha: 0.049983  Progress: 0.04%  Cost: -40945.746374 Words/thread/sec: 6.95k  
Alpha: 0.049982  Progress: 0.04%  Cost: -42358.941443 Words/thread/sec: 7.43k  
Alpha: 0.049981  Progress: 0.04%  Cost: -40917.455367 Words/thread/sec: 7.86k  
Alpha: 0.049980  Progress: 0.04%  Cost: -44635.258333 Words/thread/sec: 8.36k  
Alpha: 0.049978  Progress: 0.05%  Cost: -43472.132661 Words/thread/sec: 8.87k  
Alpha: 0.049977  Progress: 0.05%  Cost: -42864.045839 Words/thread/sec: 9.30k  
Alpha: 0.049976  Progress: 0.05%  Cost: -38399.665083 Words/thread/sec: 9.73k  
Alpha: 0.049974  Progress: 0.05%  Cost: -41638.879439 Words/thread/sec: 10.15k  
Alpha: 0.049973  Progress: 0.06%  Cost: -41671.217977 Words/thread/sec: 10.62k  
Alpha: 0.049972  Progress: 0.06%  Cost: -39680.957676 Words/thread/sec: 10.99k  
Alpha: 0.049971  Progress: 0.06%  Cost: -40191.653516 Words/thread/sec: 11.34k  
Alpha: 0.049969  Progress: 0.06%  Cost: -38507.983877 Words/thread/sec: 11.77k  
Alpha: 0.049968  Progress: 0.07%  Cost: -41519.148255 Words/thread/sec: 12.27k  
Alpha: 0.049967  Progress: 0.07%  Cost: -41740.575918 Words/thread/sec: 12.67k  
Alpha: 0.049965  Progress: 0.07%  Cost: -40028.476663 Words/thread/sec: 13.16k  
Alpha: 0.049964  Progress: 0.07%  Cost: -39706.887642 Words/thread/sec: 13.61k  
Alpha: 0.049963  Progress: 0.08%  Cost: -39221.986396 Words/thread/sec: 14.05k  
Alpha: 0.049961  Progress: 0.08%  Cost: -39248.746064 Words/thread/sec: 14.26k  
Alpha: 0.049960  Progress: 0.08%  Cost: -40680.649630 Words/thread/sec: 14.65k  
Alpha: 0.049959  Progress: 0.09%  Cost: -31418.761971 Words/thread/sec: 8.77k  
Alpha: 0.049957  Progress: 0.09%  Cost: -30178.953247 Words/thread/sec: 8.70k  
Alpha: 0.049956  Progress: 0.09%  Cost: -36173.792108 Words/thread/sec: 8.79k  
Alpha: 0.049955  Progress: 0.09%  Cost: -38187.936234 Words/thread/sec: 8.63k  
Alpha: 0.049953  Progress: 0.10%  Cost: -36441.308009 Words/thread/sec: 8.85k  
Alpha: 0.049952  Progress: 0.10%  Cost: -34752.241202 Words/thread/sec: 9.10k  
Alpha: 0.049951  Progress: 0.10%  Cost: -36762.649413 Words/thread/sec: 9.34k  
Alpha: 0.049950  Progress: 0.10%  Cost: -36651.896694 Words/thread/sec: 9.57k  
Alpha: 0.049948  Progress: 0.11%  Cost: -30475.931597 Words/thread/sec: 9.78k  
Alpha: 0.049947  Progress: 0.11%  Cost: -34860.966546 Words/thread/sec: 9.98k  
Alpha: 0.049946  Progress: 0.11%  Cost: -37622.139220 Words/thread/sec: 10.21k  
Alpha: 0.049945  Progress: 0.11%  Cost: -36424.695599 Words/thread/sec: 10.15k  
Alpha: 0.049943  Progress: 0.12%  Cost: -38467.142694 Words/thread/sec: 10.37k  
Alpha: 0.049942  Progress: 0.12%  Cost: -35956.489956 Words/thread/sec: 10.51k  
Alpha: 0.049941  Progress: 0.12%  Cost: -36302.472960 Words/thread/sec: 10.69k  
Alpha: 0.049939  Progress: 0.12%  Cost: -36904.570355 Words/thread/sec: 10.90k  
Alpha: 0.049938  Progress: 0.13%  Cost: -37045.912032 Words/thread/sec: 11.10k  
Alpha: 0.049937  Progress: 0.13%  Cost: -37063.835887 Words/thread/sec: 11.19k  
Alpha: 0.049936  Progress: 0.13%  Cost: -35938.468928 Words/thread/sec: 11.29k  
Alpha: 0.049934  Progress: 0.13%  Cost: -38193.244693 Words/thread/sec: 11.50k  
Alpha: 0.049933  Progress: 0.14%  Cost: -35573.650218 Words/thread/sec: 11.71k  
Alpha: 0.049932  Progress: 0.14%  Cost: -36949.633684 Words/thread/sec: 11.90k  
Alpha: 0.049931  Progress: 0.14%  Cost: -37446.282506 Words/thread/sec: 12.13k  
Alpha: 0.049929  Progress: 0.14%  Cost: -37405.224917 Words/thread/sec: 12.29k  
Alpha: 0.049928  Progress: 0.15%  Cost: -35752.066653 Words/thread/sec: 12.51k  
Alpha: 0.049927  Progress: 0.15%  Cost: -37536.509960 Words/thread/sec: 12.60k  
Alpha: 0.049926  Progress: 0.15%  Cost: -34065.858176 Words/thread/sec: 12.79k  
Alpha: 0.049924  Progress: 0.15%  Cost: -34702.430202 Words/thread/sec: 13.01k  
Alpha: 0.049923  Progress: 0.16%  Cost: -37500.927680 Words/thread/sec: 13.19k  
Alpha: 0.049922  Progress: 0.16%  Cost: -34920.219545 Words/thread/sec: 13.40k  
Alpha: 0.049920  Progress: 0.16%  Cost: -32179.518873 Words/thread/sec: 13.49k  
Alpha: 0.049919  Progress: 0.16%  Cost: -38487.382263 Words/thread/sec: 13.67k  
Alpha: 0.049918  Progress: 0.17%  Cost: -28806.211550 Words/thread/sec: 11.15k  
Alpha: 0.049917  Progress: 0.17%  Cost: -32629.853919 Words/thread/sec: 10.61k  
Alpha: 0.049915  Progress: 0.17%  Cost: -28142.826498 Words/thread/sec: 10.70k  
Alpha: 0.049914  Progress: 0.17%  Cost: -34800.501589 Words/thread/sec: 10.78k  
